cnt,times
1,132.0
1,147.0
1,152.0
1,188.0
1,5693.0
1,3068.0
1,281.0
1,165.0
2,16045.0
1,205.0
2,179.0
2,85.0
2,134.0
2,147.0
2,137.0
2,127.0
2,167.0
1,960.0
1,232.0
2,245.0
1,838.0
1,80.0
1,806.0
1,424.0
1,231.0
1,155.0
1,89.0
1,2456.0
1,152.0
2,344.0
1,4814.0
1,181.0
1,705.0
1,215.0
1,643.0
2,195.0
1,1241.0
1,991.0
1,168.0
1,135.0
1,3427.0
1,62.0
2,42.0
1,47.0
1,409.0
1,4756.0
1,324.0
1,9674.0
1,7516.0
1,6296.0
1,465.0
1,8073.0
1,7902.0
1,5916.0
1,6235.0
1,4550.0
2,880.0
1,7771.0
1,118.0
1,1591.0
2,6479.0
1,10007.0
1,5010.0
1,11699.0
3,2045.0
1,675.0
1,6542.0
2,10385.0
1,7127.0
2,8562.0
1,152.0
1,7380.0
1,10390.0
2,8567.0
1,10115.0
1,8469.0
2,4778.0
1,406.0
1,8053.0
2,1567.0
1,6989.0
2,908.0
2,7708.0
2,8533.0
1,4444.0
1,114.0
1,11276.0
2,5889.0
1,289.0
1,5093.0
3,2939.0
1,3670.0
2,6387.0
2,7998.0
1,13814.0
1,8338.0
3,6088.0
1,5313.0
2,1556.0
1,7930.0
2,8461.0
1,3184.0
2,7637.0
1,121.0
2,6259.0
1,2581.0
1,15435.0
1,11393.0
1,18791.0
2,7233.0
2,6218.0
2,5915.0
1,129.0
2,8009.0
2,6288.0
1,195.0
1,8362.0
2,12.0
1,4760.0
2,9745.0
1,7620.0
2,3333.0
1,8802.0
1,715.0
2,3051.0
9,6913.0
1,3825.0
1,299.0
2,11176.0
1,6957.0
1,8596.0
2,2105.0
1,7437.0
3,3412.0
2,6679.0
1,8230.0
1,395.0
2,5771.0
1,4551.0
1,391.0
3,4668.0
1,9305.0
2,8536.0
1,8771.0
1,2991.0
2,6028.0
1,6804.0
1,219.0
2,18292.0
1,5249.0
2,2024.0
1,9957.0
2,5329.0
3,6311.0
1,8618.0
2,6970.0
1,8066.0
1,696.0
2,10521.0
1,18965.0
1,611.0
3,331.0
1,538.0
2,5886.0
1,4715.0
2,3979.0
1,671.0
2,6262.0
1,6917.0
1,8394.0
2,2114.0
2,575.0
2,16176.0
2,13309.0
1,3976.0
2,5026.0
2,8684.0
1,7825.0
2,10560.0
1,302.0
1,5006.0
2,5765.0
2,3885.0
1,758.0
2,9116.0
1,399.0
1,20173.0
2,7980.0
1,6056.0
2,2827.0
2,8473.0
2,3103.0
1,5994.0
4,723.0
1,8829.0
2,11550.0
2,7145.0
2,9032.0
2,1484.0
1,533.0
1,5139.0
1,620.0
2,14361.0
2,3945.0
2,6882.0
1,20202.0
2,6580.0
2,1002.0
1,8012.0
2,9200.0
2,6953.0
2,7426.0
1,11545.0
2,552.0
1,6556.0
1,227.0
3,17834.0
3,236.0
2,7598.0
1,207.0
2,694.0
1,4897.0
2,4969.0
2,6473.0
3,6290.0
2,1028.0
1,10303.0
2,2681.0
2,7632.0
2,7594.0
1,495.0
1,6067.0
3,4917.0
1,7445.0
3,5597.0
1,134.0
5,15409.0
6,13501.0
2,2561.0
2,2016.0
2,4714.0
3,15969.0
1,343.0
1,9084.0
2,12473.0
3,8638.0
2,6690.0
1,371.0
2,9240.0
1,703.0
9,14311.0
