,size,times
2,66,132.0
3,144,3617.0
5,66,147.0
6,74,1537.0
10,66,152.0
11,123,894.0
13,79,188.0
15,64,5693.0
18,81,3068.0
20,66,281.0
22,66,165.0
23,70,246.0
30,1090,16045.0
32,147,205.0
40,66,179.0
44,66,85.0
48,66,134.0
52,66,147.0
56,66,137.0
60,66,127.0
64,66,167.0
71,81,960.0
73,66,232.0
77,66,245.0
78,70,602.0
88,81,838.0
96,89,80.0
102,81,806.0
104,66,424.0
106,66,231.0
107,70,19532.0
109,78,155.0
112,89,89.0
116,81,2456.0
118,66,152.0
122,66,344.0
123,70,1074.0
127,81,4814.0
134,89,181.0
144,81,705.0
148,66,215.0
149,70,288.0
153,81,643.0
159,66,195.0
160,70,1032.0
166,81,1241.0
177,81,991.0
179,66,168.0
181,66,135.0
182,70,515.0
192,81,3427.0
197,96,19244.0
198,625,3418.0
199,96,16566.0
200,96,20166.0
201,94,19974.0
202,95,19685.0
203,408,13430.0
204,100,6750.0
205,98,20014.0
206,102,19803.0
207,395,15577.0
208,1036,4598.0
209,94,21103.0
210,102,19702.0
211,261,14294.0
212,101,5149.0
213,89,10596.0
214,99,9311.0
215,289,11613.0
216,671,8844.0
217,99,21225.0
218,104,19274.0
219,97,19360.0
220,431,9777.0
221,99,10022.0
222,107,20278.0
223,102,20025.0
224,104,19518.0
225,95,20290.0
226,95,20093.0
227,92,19838.0
228,91,19914.0
229,95,19953.0
230,92,20132.0
231,89,19610.0
232,90,19951.0
233,94,20129.0
234,92,20238.0
235,89,21548.0
236,90,21035.0
237,89,17202.0
238,94,20352.0
239,92,19689.0
240,89,20929.0
241,87,19280.0
242,97,19890.0
243,97,19788.0
244,88,20028.0
245,86,20169.0
246,91,19953.0
247,92,20029.0
248,91,20441.0
249,90,20061.0
250,92,19929.0
251,89,19679.0
252,93,20023.0
253,86,20204.0
254,319,4995.0
255,676,14477.0
256,93,20083.0
257,91,20525.0
258,92,19454.0
260,89,62.0
263,66,42.0
265,78,47.0
266,85,168.0
267,80,106.0
268,81,2142.0
269,62,4623.0
270,82,131.0
271,99,7823.0
272,93,20096.0
273,91,19910.0
274,93,19637.0
275,336,15877.0
276,85,4278.0
277,95,20019.0
278,92,20186.0
279,102,20158.0
280,106,20007.0
281,88,22806.0
282,96,19266.0
283,431,7164.0
284,96,11207.0
285,89,19420.0
287,70,409.0
288,98,3282.0
289,94,20465.0
291,98,4756.0
292,364,8080.0
293,99,11557.0
294,71,5264.0
295,106,16442.0
296,109,20196.0
298,66,324.0
299,110,1871.0
301,108,9674.0
302,416,8975.0
303,117,9773.0
304,102,19978.0
306,104,7516.0
307,108,19154.0
308,101,20162.0
309,373,6544.0
311,100,6296.0
312,100,20037.0
313,95,19872.0
314,100,20572.0
316,66,465.0
318,97,8073.0
319,98,19789.0
320,418,15748.0
321,101,3798.0
323,99,7902.0
324,100,21949.0
325,99,20285.0
327,99,5916.0
328,101,20828.0
329,238,3685.0
330,473,14981.0
332,100,6235.0
333,99,20033.0
334,97,20952.0
336,100,4550.0
337,98,17772.0
338,442,491.0
339,99,19634.0
342,74,880.0
343,108,6275.0
344,101,21762.0
345,100,20391.0
347,101,7771.0
348,334,13869.0
349,474,4016.0
350,102,19907.0
352,66,118.0
354,112,1591.0
355,104,19869.0
356,104,20991.0
359,102,6479.0
360,80,582.0
361,438,19134.0
362,103,397.0
363,100,19090.0
364,101,19883.0
366,96,10007.0
367,101,18081.0
368,96,19407.0
369,784,13057.0
371,101,5010.0
372,101,22425.0
