cnt,times
2,2531.0
65,3818.0
1,256.0
1,348.0
21,16681.0
3,15057.0
6,6933.0
2,301.0
4,14067.0
4,6264.0
4,13098.0
1,399.0
4,10079.0
3,12643.0
4,13837.0
3,16627.0
4,12609.0
4,12343.0
4,14403.0
1,4029.0
3,13157.0
6,12676.0
4,1879.0
3,8961.0
4,6323.0
4,10179.0
1,1876.0
5,12072.0
4,12302.0
3,13861.0
3,10193.0
2,2218.0
3,9966.0
4,6150.0
3,10174.0
3,11790.0
4,14762.0
4,8747.0
1,1525.0
4,12951.0
4,13240.0
4,19055.0
4,9309.0
4,11698.0
3,15608.0
5,9097.0
1,2740.0
4,515.0
4,10865.0
2,141.0
4,16408.0
3,16756.0
6,13672.0
3,9490.0
1,5590.0
3,11562.0
3,12233.0
5,14519.0
4,13209.0
5,11869.0
3,13148.0
4,16457.0
4,13056.0
5,11062.0
1,2646.0
3,17827.0
1,345.0
4,11388.0
5,1103.0
3,12525.0
5,12746.0
3,13104.0
5,9299.0
1,2451.0
3,10118.0
4,8848.0
1,2813.0
4,9772.0
5,13134.0
4,9453.0
4,12346.0
4,9122.0
4,10286.0
21,13806.0
1,2627.0
5,12279.0
3,16657.0
5,9067.0
1,2542.0
4,13067.0
3,9471.0
4,12302.0
5,8686.0
4,2128.0
5,2783.0
3,11865.0
4,11642.0
1,2149.0
3,15306.0
1,3517.0
6,5284.0
4,12123.0
3,11321.0
4,11159.0
1,18262.0
2,14475.0
3,13286.0
4,18098.0
2,1832.0
3,14423.0
4,8279.0
5,4535.0
3,14141.0
5,13292.0
5,11119.0
3,13316.0
3,11994.0
3,8024.0
1,2036.0
5,3470.0
3,11370.0
1,1435.0
4,10963.0
1,2027.0
4,15397.0
3,14837.0
5,7195.0
1,2771.0
4,13269.0
3,12108.0
4,10593.0
4,11497.0
5,3677.0
3,5927.0
4,16196.0
3,13027.0
5,11275.0
3,12124.0
5,9177.0
4,12102.0
1,2562.0
4,13579.0
4,5732.0
3,9004.0
1,1871.0
4,6384.0
1,195.0
3,12761.0
4,13748.0
3,11447.0
6,11485.0
4,5960.0
4,13415.0
5,5043.0
7,10668.0
4,9246.0
4,11071.0
4,858.0
4,11858.0
3,18364.0
2,14675.0
4,3137.0
1,2104.0
4,9592.0
3,14504.0
4,387.0
3,13618.0
5,12989.0
4,11810.0
4,12606.0
3,12099.0
3,12144.0
4,8814.0
3,12000.0
5,13650.0
4,17903.0
2,1635.0
4,6177.0
4,10038.0
1,1126.0
4,19365.0
4,14935.0
5,10734.0
4,11494.0
5,13824.0
4,4557.0
4,10771.0
3,17309.0
3,12947.0
5,13690.0
3,9917.0
1,2215.0
4,10730.0
4,12520.0
4,16428.0
19,1071.0
1,896.0
3,379.0
3,16726.0
5,1240.0
4,12294.0
4,2100.0
1,3919.0
5,12030.0
5,1571.0
3,9886.0
4,12607.0
4,9416.0
1,2435.0
20,2872.0
1,1856.0
4,12310.0
4,12883.0
4,2220.0
4,10119.0
5,11386.0
3,11938.0
5,4133.0
3,11500.0
3,12546.0
3,10399.0
1,2491.0
4,9707.0
3,6450.0
1,2021.0
3,14241.0
